日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
6/01,會計管理師,能元科技股份有限公司,台南市善化區台南科學園區大利二路10號,"28,000",1.會計帳務處理2.開立發票3.財務報表，合併報表及Accounting Package編制4.例行性帳務、稅務處理.營業稅申報作業6.配合每年會計師查帳作業7.執行主管交辦事項,台南市善化區,2年以上,專科,員工900人,6x6g6,www.104.com.tw/job/6x6g6?jobsource=jolist_c_relevance
5/29,投資銀行部 襄理/副理/經理,VTeam Financial Technology Service Corp._天逸財金科技服務股份有限公司,台北市士林區承德路四段174號7樓,待遇面議,1.	配合公司東南亞開發專案，協助規劃/執行東南亞當地銀行洽談業務合作，服務東南亞當地客戶。2.	配合投資銀行部其他海外專案，協助處理交易作業。3.	其他主管交辦事項。,台北市士林區,1年以上,大學,員工500人,6vj0v,www.104.com.tw/job/6vj0v?jobsource=jolist_c_relevance
6/03,百萬電話行銷特助,永誠國際證券投資顧問股份有限公司,台北市中山區,"300,000",只要你有企圖心，超級想賺錢我們就全力培訓，讓你用最短的時間擠進，百萬年薪俱樂部！1. 拓展會員業務、維護既有客戶。 2. 公司提供大量客戶資源，協助開發潛在大客戶。 3. 口齒清晰、反應靈敏、具電話行銷經驗者佳。 4. 具業務經驗，有強烈企圖心，人生以高薪為目標。 . 具投顧經驗更佳，須具備投顧相關證照。 [對您最好] 1.高底薪+高獎金% ，超越同業，最優渥  歡迎有賺錢企圖心及業務高手加入! ,台北市中山區,1年以上,大學,員工70人,6h3wv,www.104.com.tw/job/6h3wv?jobsource=jolist_c_relevance
1/14,保險顧問 Treasures Bancassurance Specialist　(台北),星展(台灣)商業銀行股份有限公司,台北市內湖區,待遇面議,仁，以提升其保險銷售績效及與客戶間的互動關係。    (2)與銷售同仁保持明確及即時溝通，以共同達成保險銷售目標。    (3)建立團隊成員中的信任及士氣，並能與分行中的其他同仁密切合作。    (4)協助分行業務經領導業務團隊提供客戶最佳的金融服,台北市內湖區,7年以上,大學,外商公司,6a5bk,www.104.com.tw/job/6a5bk?jobsource=jolist_c_relevance
6/01,管理會計 (大雅),台灣櫻花股份有限公司,台中市大雅區雅潭路四段436號,"33,000",1.預算規劃、追蹤、分析及管理。2.企業營運績效分析與改善管理。3.子公司及關係企業營運績效分析、管理制度規範。4.各項專案推動及管理。,台中市大雅區,5年以上,大學,上市上櫃,5aogw,www.104.com.tw/job/5aogw?jobsource=jolist_c_relevance
6/01,【債券】國際業務處 交易人員,群益金鼎證券股份有限公司,台北市松山區民生東路三段156號13F,"35,000",1.外幣債券自營交易及資金調度作業2.總經及技術分析、撰寫研究報告3.協助投資管理相關行政作業,台北市松山區,1年以上,碩士,上市上櫃,6q0ch,www.104.com.tw/job/6q0ch?jobsource=jolist_c_relevance
6/03,營業櫃台主管-延平分公司,群益金鼎證券股份有限公司,台北市大同區延平北路二段96號4樓,待遇面議,1.協助分公司達成各項業務目標2.分公司同仁擴展及銷售財產管理業務,台北市大同區,5年以上,大學,上市上櫃,6v9ns,www.104.com.tw/job/6v9ns?jobsource=2018indexpoc
6/01,管理會計 (大雅),台灣櫻花股份有限公司,台中市大雅區雅潭路四段436號,"33,000",1.預算規劃、追蹤、分析及管理。2.企業營運績效分析與改善管理。3.子公司及關係企業營運績效分析、管理制度規範。4.各項專案推動及管理。,台中市大雅區,5年以上,大學,上市上櫃,5aogw,www.104.com.tw/job/5aogw?jobsource=2018indexpoc
5/25,稽核人員,復華證券投資信託股份有限公司,台北市中山區八德路二段308號8樓,"33,000",1.公司內控制度查核作業(含基金投資、基金各項後台作業、洗錢防制、一般公司查核等)2.與各部門溝通協調作業流程改善方案3.配合外部單位查核作業4.各項主管機關申報作業,台北市中山區,1年以上,大學,員工390人,3dsup,www.104.com.tw/job/3dsup?jobsource=2018indexpoc
6/01,信託經理,港信資產管理諮詢有限公司,台北市信義區信義路5段7號28樓,待遇面議,1.開發新客戶，信託業務推廣。2.具備保險或金融商品銷售經驗1年以上。3.針對高淨值資產人士進行財富傳承與規劃建議。科系不拘，證照不拘。歡迎各行各業銷售菁英加入我們，創造優渥財富！• 具完善獎金制度，基本津貼比保險業務及證劵營,台北市信義區,3年以上,專科,員工200人,6t06l,www.104.com.tw/job/6t06l?jobsource=2018indexpoc
6/04,證券營業員/理財專員(埔里分公司),永豐金證券股份有限公司,南投縣埔里鎮中正路479號,"26,000",1.從財務規劃專業角度，檢視客戶現況並確認其中、長期的財務需求，並以股票、債券、基金和保險等全方位財富管理服務平台，提供客戶最適切的理財服務及金融產品以滿足客戶需求，達成其理財目標。2.開發財富管理客戶，達成開戶目標，並追求管理資產規模穩健成,南投縣埔里鎮,經歷不拘,專科,員工2100人,6wpmf,www.104.com.tw/job/6wpmf?jobsource=2018indexpoc
